ID REF;LÍNEA;PRODUCTO;P. CONTADO;P. DIGITAL (QR)
SC-114;INDUSTRIAL;EPSON SURECOLOR F11070;U$D 132.490;U$D 138.090
SC-115;INDUSTRIAL;EPSON SURECOLOR F11070 MEJORADO 3 UNIDADES;U$D 109.090;U$D 113.690
SC-116;INSUMOS;TINTA EPSON T890120 BLACK S40600;Gs. 790.000;Gs. 890.000
SC-117;INSUMOS;TINTA EPSON T890220 CYAN S40600;Gs. 790.000;Gs. 890.000
SC-118;INSUMOS;TINTA EPSON T890320 MAGENTA S40600;Gs. 790.000;Gs. 890.000
SC-119;INSUMOS;TINTA EPSON T890420 YELLOW S40600;Gs. 790.000;Gs. 890.000
SC-120;INSUMOS;TINTA EPSON T53K220 CYAN (F64/F95) - UNITARIO;Gs. 990.000;Gs. 1.090.000
SC-121;INSUMOS;TINTA EPSON T53K920 HDK (F64/F95) - UNITARIO;Gs. 990.000;Gs. 1.090.000
SC-122;INSUMOS;TINTA EPSON T53K420 YELLOW (F64/F95) - UNITARIO;Gs. 990.000;Gs. 1.090.000
SC-123;INSUMOS;TINTA EPSON T53K320 MAGENTA (F64/F95) - UNITARIO;Gs. 990.000;Gs. 1.090.000
SC-124;INSUMOS;TINTA EPSON T741220 CYAN (F62/F93) - UNITARIO;Gs. 590.000;Gs. 690.000
SC-125;INSUMOS;TINTA EPSON T741120 HDK (F62/F93) - UNITARIO;Gs. 590.000;Gs. 690.000
SC-126;INSUMOS;TINTA EPSON T741420 YELLOW (F62/F93) - UNITARIO;Gs. 590.000;Gs. 690.000
SC-127;INSUMOS;TINTA EPSON T741320 MAGENTA (F62/F93) - UNITARIO;Gs. 590.000;Gs. 690.000
SC-128;INSUMOS;TINTA EPSON T43M220 CYAN (F100/F110) - UNITARIO;Gs. 3.490.000;Gs. 3.690.000
SC-129;INSUMOS;TINTA EPSON T43M120 HDK (F100/F110) - UNITARIO;Gs. 3.490.000;Gs. 3.690.000
SC-130;INSUMOS;TINTA EPSON T43M420 YELLOW (F100/F110) - UNITARIO;Gs. 3.490.000;Gs. 3.690.000
SC-131;INSUMOS;TINTA EPSON T43M320 MAGENTA (F100/F110) - UNITARIO;Gs. 3.490.000;Gs. 3.690.000
SC-132;INSUMOS;TINTA EPSON T49M2 CYAN (F170/F570) - 140ML;Gs. 159.000;Gs. 169.000
SC-133;INSUMOS;TINTA EPSON T49M1 BLACK (F170/F570) - 140ML;Gs. 159.000;Gs. 169.000
SC-134;INSUMOS;TINTA EPSON T49M4 YELLOW (F170/F570) - 140ML;Gs. 159.000;Gs. 169.000
SC-135;INSUMOS;TINTA EPSON T49M3 MAGENTA (F170/F570) - 140ML;Gs. 159.000;Gs. 169.000
SC-136;INSUMOS;KIT DE LIMPIEZA DE CABEZAL F22/G60 C13S400216;Gs. 890.000;Gs. 990.000
SC-138;INSUMOS;T46C420 YELLOW F63/F94;Gs. 590.000;Gs. 690.000
SC-139;INSUMOS;T46C320 MAGENTA F63/F94;Gs. 590.000;Gs. 690.000
SC-140;INSUMOS;T46C220 CYAN F63/F94;Gs. 590.000;Gs. 690.000
SC-141;INSUMOS;T46C120 YHDK F63/F94;Gs. 590.000;Gs. 690.000
TC-001;COMERCIAL;PRENSA TERMICA 60X40;Gs. 2.590.000;Gs. 2.690.000
TC-002;COMERCIAL;PRENSA TERMICA 38X38;Gs. 1.690.000;Gs. 1.790.000
TC-003;COMERCIAL;GRABADORA LASER 20W;Gs. 6.290.000;Gs. 6.590.000
TC-004;COMERCIAL;EJE ROTATIVO ESTÁNDAR;Gs. 990.000;Gs. 1.090.000
TC-005;COMERCIAL;GRABADORA LASER 10W;Gs. 3.890.000;Gs. 4.090.000
TC-006;ACCESORIOS;PATITAS BASE;Gs. 259.000;Gs. 269.000
TC-007;ACCESORIOS;COMPRESOR DE AIRE;Gs. 590.000;Gs. 690.000
TC-008;COMERCIAL;GRABADORA LASER 20W;Gs. 6.290.000;Gs. 6.590.000
TC-009;COMERCIAL;PRENSA TAZA COMUN 11 OZ;Gs. 590.000;Gs. 690.000
TC-010;COMERCIAL;TRANSFER TAZAS DOBLE;Gs. 1.290.000;Gs. 1.390.000
TC-011;ACCESORIOS;EJE ROTATIVO PRO;Gs. 1.690.000;Gs. 1.790.000
TC-012;COMERCIAL;PRENSA 8 EN 1;Gs. 2.490.000;Gs. 2.590.000
TC-013;COMERCIAL;PRENSA 11 EN 1;Gs. 3.790.000;Gs. 3.990.000
TC-014;COMERCIAL;PRENSA 15 EN 1;Gs. 4.490.000;Gs. 4.690.000
TC-015;COMERCIAL;PRENSA 6 EN 1;Gs. 2.290.000;Gs. 2.390.000
TC-016;COMERCIAL;PRENSA BOLIGRAFOS;Gs. 1.590.000;Gs. 1.690.000
TC-017;INSUMOS;TINTA LITRO SUBLI CY;Gs. 239.000;Gs. 249.000
TC-018;INSUMOS;TINTA LITRO SUBLI BK;Gs. 299.000;Gs. 319.000
TC-019;INSUMOS;RESMA DE PAPEL A4;Gs. 39.000;Gs. 49.000
TC-020;INSUMOS;RESMA DE PAPEL A4 PREMIUN;Gs. 119.000;Gs. 129.000
TC-021;COMERCIAL;HORNO DTF A3;Gs. 4.290.000;Gs. 4.490.000
TC-022;COMERCIAL;CAMEO 5;Gs. 3.190.000;Gs. 3.390.000
TC-023;COMERCIAL;GRABADORA LASER 10W;Gs. 3.890.000;Gs. 4.090.000
TC-024;INSUMOS;DTF 60CM 100 METROS;Gs. 1.690.000;Gs. 1.790.000
TC-025;INSUMOS;POLVO DTF KILO;Gs. 309.000;Gs. 329.000
TC-026;COMERCIAL;BORDADORA JANOME MC400E;Gs. 11.190.000;Gs. 11.690.000
TC-027;COMERCIAL;BORDADORA JANOME MC500E;Gs. 12.890.000;Gs. 13.490.000
