CODIGO,NOMBRE_PRODUCTO,CATEGORIA,LINEA,PROVEEDOR,MONEDA,COSTO,ESTADO,NOTAS
TC-002,PRENSA TERMICA 38X38,IMPRESORAS,COMERCIAL,Todo Costura,GS,1300000.0,ACTIVO,
TC-003,GRABADORA LASER 10W,IMPRESORAS,COMERCIAL,Todo Costura,GS,4800000.0,ACTIVO,
TC-004,EJE ROTATIVO ESTÃNDAR,IMPRESORAS,COMERCIAL,Todo Costura,GS,700000.0,ACTIVO,
TC-005,GRABADORA LASER 10W,IMPRESORAS,COMERCIAL,Todo Costura,GS,3000000.0,ACTIVO,
TC-006,PATITAS BASE,ACCESORIOS,ACCESORIOS,Todo Costura,GS,200000.0,ACTIVO,
TC-007,COMPRESOR DE AIRE,ACCESORIOS,ACCESORIOS,Todo Costura,GS,450000.0,ACTIVO,
TC-008,GRABADORA LASER 20W,IMPRESORAS,COMERCIAL,Todo Costura,GS,4800000.0,ACTIVO,
TC-009,PRENSA TAZA COMUN 11 OZ,IMPRESORAS,COMERCIAL,Todo Costura,GS,440000.0,ACTIVO,
TC-010,TRANSFER TAZAS DOBLE,IMPRESORAS,COMERCIAL,Todo Costura,GS,995000.0,ACTIVO,
TC-011,EJE ROTATIVO PRO,ACCESORIOS,ACCESORIOS,Todo Costura,GS,1250000.0,ACTIVO,
TC-012,PRENSA 8 EN 1,IMPRESORAS,COMERCIAL,Todo Costura,GS,1900000.0,ACTIVO,
TC-013,PRENSA 11 EN 1,IMPRESORAS,COMERCIAL,Todo Costura,GS,2900000.0,ACTIVO,
TC-014,PRENSA 15 EN 1,IMPRESORAS,COMERCIAL,Todo Costura,GS,3400000.0,ACTIVO,
TC-015,PRENSA 6 EN 1,IMPRESORAS,COMERCIAL,Todo Costura,GS,1750000.0,ACTIVO,
TC-016,PRENSA BOLIGRAFOS,IMPRESORAS,COMERCIAL,Todo Costura,GS,1190000.0,ACTIVO,
TC-018,TINTA LITRO SUBLI BK,TINTAS/CONSUMIBLES,INSUMOS,Todo Costura,GS,225000.0,ACTIVO,
TC-019,RESMA DE PAPEL A4,TINTAS/CONSUMIBLES,INSUMOS,Todo Costura,GS,30000.0,ACTIVO,
TC-020,RESMA DE PAPEL A4 PREMIUN,TINTAS/CONSUMIBLES,INSUMOS,Todo Costura,GS,90000.0,ACTIVO,
TC-021,HORNO DTF A3,IMPRESORAS,COMERCIAL,Todo Costura,GS,3300000.0,ACTIVO,
TC-022,CAMEO 5,IMPRESORAS,COMERCIAL,Todo Costura,GS,2450000.0,ACTIVO,
TC-023,GRABADORA LASER 10W,IMPRESORAS,COMERCIAL,Todo Costura,GS,3000000.0,ACTIVO,
TC-024,DTF 60CM 100 METROS,TINTAS/CONSUMIBLES,INSUMOS,Todo Costura,GS,1300000.0,ACTIVO,
TC-025,POLVO DTF KILO,TINTAS/CONSUMIBLES,INSUMOS,Todo Costura,GS,235000.0,ACTIVO,
TC-026,BORDADORA JANOME MC400E,IMPRESORAS,COMERCIAL,Todo Costura,GS,8600000.0,ACTIVO,
TC-027,BORDADORA JANOME MC500E,IMPRESORAS,COMERCIAL,Todo Costura,GS,9900000.0,ACTIVO,
TC-028,BORDADORA JANOME MC550E,IMPRESORAS,COMERCIAL,Todo Costura,GS,10900000.0,ACTIVO,
TC-029,BORDADORA JANOME MB7,IMPRESORAS,COMERCIAL,Todo Costura,GS,39500000.0,ACTIVO,
TC-030,BORDADORA INDUSTRIAL WILPEX WP121C,SURECOLOR,INDUSTRIAL,Todo Costura,GS,35500000.0,ACTIVO,
TC-031,OVERLOCK FLIAR WILPEX WP334,IMPRESORAS,COMERCIAL,Todo Costura,GS,1826500.0,ACTIVO,
TC-032,COLLERETA Y OVERLOCK 5 HILOS WILPEX FLIAR,IMPRESORAS,COMERCIAL,Todo Costura,GS,2730000.0,ACTIVO,
