Nombre,ID_Ref,Proveedor,Linea,Costo_Compra,Moneda_Costo,Margen_Pct
PRENSA TERMICA 38X38,TC-002,Todo Costura,COMERCIAL,1300000.0,GS,23.0
GRABADORA LASER 20W,TC-003,Todo Costura,COMERCIAL,4800000.0,GS,23.0
EJE ROTATIVO ESTÁNDAR,TC-004,Todo Costura,COMERCIAL,700000.0,GS,23.0
GRABADORA LASER 10W,TC-005,Todo Costura,COMERCIAL,3000000.0,GS,23.0
PATITAS BASE,TC-006,Todo Costura,ACCESORIOS,200000.0,GS,23.0
COMPRESOR DE AIRE,TC-007,Todo Costura,ACCESORIOS,450000.0,GS,23.0
GRABADORA LASER 20W,TC-008,Todo Costura,COMERCIAL,4800000.0,GS,23.0
PRENSA TAZA COMUN 11 OZ,TC-009,Todo Costura,COMERCIAL,440000.0,GS,23.0
TRANSFER TAZAS DOBLE,TC-010,Todo Costura,COMERCIAL,995000.0,GS,23.0
EJE ROTATIVO PRO,TC-011,Todo Costura,ACCESORIOS,1250000.0,GS,23.0
PRENSA 8 EN 1,TC-012,Todo Costura,COMERCIAL,1900000.0,GS,23.0
PRENSA 11 EN 1,TC-013,Todo Costura,COMERCIAL,2900000.0,GS,23.0
PRENSA 15 EN 1,TC-014,Todo Costura,COMERCIAL,3400000.0,GS,23.0
PRENSA 6 EN 1,TC-015,Todo Costura,COMERCIAL,1750000.0,GS,23.0
PRENSA BOLIGRAFOS,TC-016,Todo Costura,COMERCIAL,1190000.0,GS,23.0
TINTA LITRO SUBLI CY,TC-017,Todo Costura,INSUMOS,180000.0,GS,23.0
TINTA LITRO SUBLI BK,TC-018,Todo Costura,INSUMOS,225000.0,GS,23.0
RESMA DE PAPEL A4,TC-019,Todo Costura,INSUMOS,30000.0,GS,23.0
RESMA DE PAPEL A4 PREMIUN,TC-020,Todo Costura,INSUMOS,90000.0,GS,23.0
HORNO DTF A3,TC-021,Todo Costura,COMERCIAL,3300000.0,GS,23.0
CAMEO 5,TC-022,Todo Costura,COMERCIAL,2450000.0,GS,23.0
GRABADORA LASER 10W,TC-023,Todo Costura,COMERCIAL,3000000.0,GS,23.0
DTF 60CM 100 METROS,TC-024,Todo Costura,INSUMOS,1300000.0,GS,23.0
POLVO DTF KILO,TC-025,Todo Costura,INSUMOS,235000.0,GS,23.0
BORDADORA JANOME MC400E,TC-026,Todo Costura,COMERCIAL,8600000.0,GS,23.0
BORDADORA JANOME MC500E,TC-027,Todo Costura,COMERCIAL,9900000.0,GS,23.0
BORDADORA JANOME MC550E,TC-028,Todo Costura,COMERCIAL,10900000.0,GS,23.0
BORDADORA JANOME MB7,TC-029,Todo Costura,COMERCIAL,39500000.0,GS,23.0
BORDADORA INDUSTRIAL WILPEX WP121C,TC-030,Todo Costura,INDUSTRIAL,35500000.0,GS,23.0
OVERLOCK FLIAR WILPEX WP334,TC-031,Todo Costura,COMERCIAL,1826500.0,GS,23.0
COLLERETA Y OVERLOCK 5 HILOS WILPEX FLIAR,TC-032,Todo Costura,COMERCIAL,2730000.0,GS,23.0
CAMEO PLUS,TC-033,Todo Costura,COMERCIAL,3300000.0,GS,23.0
CAMEO 15 PULGADAS,TC-034,Todo Costura,COMERCIAL,3600000.0,GS,23.0
CAMEO 24 PULGADAS,TC-035,Todo Costura,COMERCIAL,4500000.0,GS,23.0
CORTADORA DE PLOTTER WILPPEX 75CM,TC-036,Todo Costura,COMERCIAL,3200000.0,GS,23.0
PRENSA TAZAS DOBLE,TC-037,Todo Costura,COMERCIAL,995000.0,GS,23.0
PRENSA TAZAS 5 EN 1,TC-038,Todo Costura,COMERCIAL,2700000.0,GS,23.0
BORDADORA WILPEX IND 15 AGUJAS SMART,TC-039,Todo Costura,INDUSTRIAL,36000000.0,GS,23.0
PRENSA MANUAL 100X80,TC-040,Todo Costura,INDUSTRIAL,12750000.0,GS,23.0
DOBLE BANDEJA,TC-041,Todo Costura,INDUSTRIAL,30500000.0,GS,23.0
CALANDRA 1.7 ROLLO A ROLLO,TC-042,Todo Costura,INDUSTRIAL,81000000.0,GS,23.0
CALANDRA 1.8,TC-043,Todo Costura,INDUSTRIAL,30000000.0,GS,23.0
EPSON F570+100X80+MULTI+OVERLOCK+COLLARETA FLIAR,TC-044,Todo Costura,INDUSTRIAL,30819955.16,GS,23.0
MAQUINA DE COSER RECTA IND WILPEX,TC-045,Todo Costura,INDUSTRIAL,2120000.0,GS,23.0
MAQUIINA DE COSER OVERLOCK IND WILPEX,TC-046,Todo Costura,INDUSTRIAL,3200000.0,GS,23.0
MAQUINA DE COSER COLLARETA IND WILPEX,TC-047,Todo Costura,INDUSTRIAL,4100000.0,GS,23.0
