Año;PRODUCTO;CANTIDAD
2023;TINTA EP T49M420 F170/F570 ULTRA YELLOW 140ML*;9
2023;TINTA EP T694100 NEGRO 700ML (T5270DR);0
2023;TINTA EP T694200 CYAN 700ML (T5270DR);0
2023;TINTA EP T694300 MAGENTA 700ML (T5270DR);0
2023;TINTA EP T694400 YELLOW 700ML (T5270DR);0
2023;TINTA EP T694500 NEGRO MATTE 700ML (T5270DR);0
2023;TINTA EP T725100 NEGRO 725 (F2100WE);0
2023;TINTA EP T72510N NEGRO 725 (F2100WE);1
2023;TINTA EP T725200 CYAN 725 (F2100WE);0
2023;TINTA EP T72520N CYAN 725 (F2100WE);1
2023;TINTA EP T725300 MAGENTA 725 (F2100WE);1
2023;TINTA EP T72530N MAGENTA 725 (F2100WE);1
2023;TINTA EP T725400 AMARILLO 725 (F2100WE);0
2023;TINTA EP T72540N AMARILLO 725 (F2100WE);1
2023;TINTA EP T725A00 BLANCO 725 (F2100WE);4
2023;TINTA EP T725A0N BLANCO 725 (F2100WE);14
2023;TINTA EP T736000 CARTUCHO DE LIMPIEZA (F2100WE);4
2023;TINTA EP T890120 NEGRO (S40600PE);2
2023;TINTA EP T890200 CYAN (S40600PE);3
2023;TINTA EP T890220 CYAN (S40600PE);4
2023;TINTA EP T890320 MAGENTA (S40600PE);7
2023;TINTA EP T890420 AMARILLO (S40600PE);6
2023;"TV SAMSUNG LH43BEAHLGGXZB CRYSTAL 43"" SMART 4K UHD";0
2023;UPS APS POWER     850 V.A.  VISTA;1
2023;UPS APS POWER    1500 V.A.  VISTA;1
2023;UPS APS POWER   1KVA TOWER ON LINE;2
2023;UPS APS POWER   6KVA TOWER ON LINE;2
